mask_area,fill_ratio,n_components,largest_component_area,largest_component_ratio,mean_component_area,std_component_area,median_component_area,skeleton_length,n_endpoints,n_junctions,endpoint_density,junction_density,branch_density,n_segments,mean_segment_length,median_segment_length,max_segment_length,std_segment_length,mean_tortuosity,median_tortuosity,max_tortuosity,orientation_mean_deg,orientation_std_deg,mean_thickness,median_thickness,max_thickness,std_thickness,time_label,time_h,group,image_name,thickness_norm,segment_length_norm,thickness_inverted,proinflammatory_score_0_1,proinflammatory_score
621550,0.1983602685866013,213,89631.0,0.14420561499477114,2918.075117370892,8947.7315967094,584.0,35660,1081,3022,0.00034498825571895427,0.0009644352532679739,0.01138046364379085,1851,17.48730415991356,13.0,157.0,15.678296974734282,1.054942615025937,1.022835750588535,2.2742708045234394,83.11396928289733,49.874676785507496,18.209799849019635,14.560219778561036,104.30723848324239,12.698322118898744,0HS,0,N3,Image8.tif,0.744584576705665,0.0,0.255415423294335,0.1277077116471675,12.770771164716749
613061,0.19565110549428105,185,134901.0,0.22004498736667313,3313.8432432432433,12953.616990122053,513.0,37931,993,3029,0.0003169041053921569,0.0009666692197712419,0.012105226205065359,1831,18.9202621518296,14.0,177.0,18.306039004908865,1.0296648987538628,1.0197899142146145,1.386750490563073,83.56813227775834,46.203688667439486,17.20238664622097,13.416407864998739,100.9554357129917,12.420941453236557,0HS,0,N3,Image11.tif,0.5578250013240986,0.2,0.4421749986759014,0.32108749933795067,32.10874993379507
619155,0.19759593290441177,185,131895.0,0.21302420234028635,3346.7837837837837,11455.238152549642,597.0,34100,918,2480,0.00029296875,0.0007914624183006536,0.010882608251633986,1573,19.986013986013987,14.0,152.0,19.066312698471307,1.0161725239568855,1.0188899726495868,1.3416407864998738,86.58878090074566,49.12838265460469,18.96329332270848,16.0,104.95713410721541,12.54582049643496,0HS,0,N4,Image101.tif,0.9796693311223914,0.2,0.020330668877608593,0.1101653344388043,11.01653344388043
618978,0.19753944546568628,231,103433.0,0.16710286956886997,2679.5584415584417,9438.058948434102,558.0,36251,987,2772,0.00031498927696078433,0.0008846507352941176,0.011569074244281045,1681,19.749553837001784,15.0,157.0,18.462199305385514,1.0072856548961593,1.0146322144690791,1.2671051872498809,92.61063676122357,46.38142878888131,17.1683662870508,14.0,76.02631123499285,11.159789481722056,0HS,0,N4,Image104.tif,0.6531128874149276,0.4,0.34688711258507243,0.3734435562925362,37.34435562925362
613703,0.1958559921364379,195,101602.0,0.16555565151221358,3147.1948717948717,10229.199570308738,553.0,33951,963,2621,0.0003073299632352941,0.0008364608864379085,0.01083505667892157,1651,18.843731072077528,13.0,207.0,17.942564037781967,1.0181174644956843,1.0,1.552314712967963,81.56213193651014,46.90432665611459,18.700787345996055,15.231546211727817,106.0,13.042936824788882,0HS,0,N4,Image107.tif,0.8541975629965453,0.0,0.14580243700345474,0.07290121850172737,7.290121850172737
620207,0.19793166615604574,209,126676.0,0.20424793657601414,2967.497607655502,11530.781841107702,606.0,38347,996,2871,0.00031786151960784315,0.0009162454044117647,0.012237987642973857,1774,19.87260428410372,14.0,177.0,18.55102364658298,1.011611246455032,1.0065713841603692,1.462609489691974,86.16977817635836,51.78352639738194,16.13148395376097,14.0,80.62257748298549,10.042879577657644,0HS,0,N4,Image110.tif,0.6531128874149276,0.2,0.34688711258507243,0.27344355629253625,27.344355629253624
621089,0.19821314593545752,183,172349.0,0.2774948517845269,3393.928961748634,15044.975656449242,504.0,42945,1012,3124,0.0003229677287581699,0.0009969873366013071,0.01370538449754902,1896,20.87447257383966,14.0,245.0,22.185805851082037,0.9968172705864518,0.9984603532054125,1.5185132047305931,86.18867958138142,50.33652507740703,14.815617424443998,12.0,92.47702417357513,10.295935796774407,24HS,24,N1,Image14.tif,0.3265564437074638,0.2,0.6734435562925363,0.4367217781462681,43.672177814626814
614136,0.19599417892156862,188,148007.0,0.24100036474005757,3266.68085106383,14654.950112949466,495.5,42714,1062,3668,0.00033892463235294116,0.0011705984477124183,0.013631663602941177,2125,18.231529411764704,14.0,141.0,16.43339623384487,0.9975927172108965,0.9922778767136677,1.5109662034355793,85.1156917887679,52.050207619439774,14.79648378537291,12.165525060596439,73.348483283569,9.586954259546875,24HS,24,N1,Image17.tif,0.35358308127388155,0.2,0.6464169187261184,0.4232084593630592,42.320845936305915
604722,0.1929898131127451,183,121612.0,0.2011039783569971,3304.4918032786886,13221.640019991424,435.0,40852,1041,3284,0.00033222273284313727,0.0010480494281045751,0.013037428513071896,2011,18.55793137742417,14.0,193.0,16.501314701243743,1.0228375267642702,0.9881262709952314,2.1560984046602587,84.70108124000372,50.84934193292087,15.162505850060835,12.649110640673518,60.0,9.176784179614975,24HS,24,N1,Image20.tif,0.43254207490297253,0.2,0.5674579250970275,0.38372896254851374,38.372896254851376
618876,0.19750689338235294,186,213311.0,0.34467486216948146,3327.2903225806454,17006.094180971035,492.0,43916,1066,3272,0.00034020118464052286,0.00104421977124183,0.014015267565359478,2002,20.186313686313685,15.0,147.0,18.463554631973082,0.9637485690842209,0.9803060746521977,1.25,90.95713621286869,47.1127152902764,14.009104254120535,12.0,70.9365914038728,8.783457927508914,24HS,24,N1,Image23.tif,0.3265564437074638,0.4,0.6734435562925363,0.5367217781462681,53.67217781462681
