rank,feature,importance_tier,composite_score_norm,effect_size,cohens_d,abs_d,relative_diff,abs_diff,mean_CTRL,mean_HPMC,p_ttest,p_ttest_corrected,sig_ttest,p_mannwhitney,p_mannwhitney_corrected,sig_mwu,both_normal,preferred_test,neglog_p_ttest_corr,neglog_p_mwu_corr,abs_d_norm,p_ttest_normscore,p_mwu_normscore
15,largest_component_ratio,🔴 HIGH,41.29285357411193,large,1.885345239917971,1.885345239917971,1.2920044246908697,0.275583969141608,0.21329955522888655,0.48888352437049454,5.387304459427186e-05,0.00010056301657597415,True,0.0002053369183032917,0.0003593396070307605,True,True,unknown,3.997561707650555,3.4444949114708283,0.3261389207735029,0.3249352605276056,0.6745010408898657
16,std_component_area,🔴 HIGH,40.92075767642378,large,1.8155255037192004,1.8155255037192004,1.076758743805581,12879.362409494526,11961.233176500693,24840.59558599522,7.949492512530496e-05,0.00013093281785344347,True,0.00015202609565746224,0.00028378204522726285,True,True,unknown,3.8829514854100893,3.547015085641743,0.3131642903572254,0.3152670422932206,0.6952346840492797
17,largest_component_area,🔴 HIGH,40.82728149783209,large,1.8619679854110518,1.8619679854110518,1.289014953972348,170700.625,132427.1875,303127.8125,6.108032439378537e-05,0.0001068905676891244,True,0.00023815748524988163,0.00039225938747039334,True,True,unknown,3.971060616412347,3.406426654171092,0.32179471591270203,0.32269969786546565,0.6668021302224137
18,max_segment_length,🔴 HIGH,37.76892402520669,large,1.5877637460486211,1.5877637460486211,0.3608885651857226,61.9375,171.625,233.5625,9.766235242769208e-05,0.000151919214887521,True,0.0002747837871290301,0.0004274414466451579,True,True,unknown,3.8183872926819022,3.369123368983895,0.27083922885420636,0.30982057605992674,0.6592579272399278
19,max_thickness,🔴 HIGH,22.95273088191697,large,-0.9953264310620138,0.9953264310620138,-0.18655902866423135,-16.967576023046604,90.95017348951058,73.98259746646397,0.009244805434530394,0.013623923798255317,True,0.003087881263842207,0.004550561862504305,True,True,unknown,1.8656977941477586,2.34193497725052,0.16074635790895098,0.1450968031995149,0.4515197162592619
20,n_components,🔴 HIGH,19.650505500671894,large,-0.978064037530855,0.978064037530855,-0.12354970210097148,-24.625,199.3125,174.6875,0.010112143348558209,0.013739220661887756,True,0.013546217299170153,0.018964704218838214,True,True,unknown,1.8620379013260246,1.7220539263399481,0.15753848018896802,0.14478806422472482,0.32615519542421484
21,mean_component_area,🔴 HIGH,18.525465172352963,large,0.9895962818006865,0.9895962818006865,0.15835831017529395,497.6132998269013,3142.325144010886,3639.9384438377874,0.010304415496415817,0.013739220661887756,True,0.024929680525107786,0.03323957403347705,True,True,unknown,1.8620379013260246,1.4783445503541044,0.15968152190492815,0.14478806422472482,0.2768674988595374
22,max_tortuosity,🟢 LOW,8.526559343218064,medium,-0.5485767826764342,0.5485767826764342,-0.17929381607665623,-0.3214002917900094,1.7925899443872448,1.4711896525972354,0.13576026215131315,0.17278578819258036,False,0.14562408020956774,0.1698947602444957,False,False,unknown,0.7624919815525214,0.7698200150802935,0.07772668622324076,0.05203324966033636,0.13357575162190471
23,endpoint_density,🟢 LOW,6.041721000785229,small,0.31597786802089606,0.31597786802089606,0.027335984010289277,8.77629697712502e-06,0.00032105290032675,0.000329829197303875,0.3801800861199415,0.44354343380660644,False,0.10913953851878272,0.13286552515330072,False,False,unknown,0.353063845643014,0.8765876915776132,0.03450273383975946,0.01749496422742565,0.15516840812446459
24,n_endpoints,🟢 LOW,6.041721000785198,small,0.31597786802089267,0.31597786802089267,0.027335984095427406,27.5,1006.0,1033.5,0.38018008611994836,0.44354343380660644,False,0.10913953851878272,0.13286552515330072,False,False,unknown,0.353063845643014,0.8765876915776132,0.03450273383975883,0.01749496422742565,0.15516840812446459
25,orientation_std_deg,🟢 LOW,4.40240063140683,small,0.28006944383106563,0.28006944383106563,0.019978990498268623,0.9757420905906642,48.838408060467415,49.81415015105808,0.4350135699037009,0.48721519829214494,False,0.20674060673155448,0.231549479539341,False,True,unknown,0.31227917269155503,0.6353561908456279,0.027829856540888008,0.014054476014381242,0.10638183616011597
26,mask_area,🟢 LOW,0.24487358483157068,negligible,-0.15331748058067013,0.15331748058067013,-0.001794042183276156,-1112.375,620038.375,618926.0,0.6685470529822013,0.6933080549445135,False,0.7486986250513457,0.776428203756951,False,True,unknown,0.15907375408129054,0.10989869724871552,0.004275486856225251,0.0011304680781034759,0.00011350160270884945
27,fill_ratio,🟢 LOW,0.24487358483153174,negligible,-0.15331748058066594,0.15331748058066594,-0.001794042183267048,-0.0003550012127246649,0.19787785149867235,0.19752285028594768,0.6685470529822095,0.6933080549445135,False,0.7486986250513457,0.776428203756951,False,True,unknown,0.15907375408129054,0.10989869724871552,0.004275486856224472,0.0011304680781034759,0.00011350160270884945
28,orientation_mean_deg,🟢 LOW,0.0,negligible,-0.13031001486908783,0.13031001486908783,-0.010491308575965197,-0.9402798300693291,89.62464722688927,88.68436739681994,0.7150348089102865,0.7150348089102865,False,0.7774322029019755,0.7774322029019755,False,True,unknown,0.1456728156119456,0.10933747392732804,0.0,0.0,0.0
